Job Title,Role,Qualifications,Experience,location,Country,Work Type,Job Description,Salary Range,Benefits
Procurement Manager,Supplier Diversity Manager,BBA,5 to 10 Years,Panama City,Panama,Contract,"Promote diversity and inclusion in the supply chain, manage supplier diversity programs, and assess supplier performance.",$55K-$84K,"{'Transportation Benefits, Professional Development, Bonuses and Incentive Programs, Profit-Sharing, Employee Discounts'}"
Architectural Designer,Architectural Drafter,MBA,0 to 12 Years,Tunis,Tunisia,Part-Time,Architectural Drafters assist architects and engineers in creating detailed technical drawings and plans for buildings and structures. They use computer-aided design (CAD) software to produce accurate and precise architectural drawings.,$61K-$108K,"{'Employee Assistance Programs (EAP), Tuition Reimbursement, Profit-Sharing, Transportation Benefits, Parental Leave'}"
Art Teacher,Art Education Coordinator,M.Com,0 to 11 Years,Harare,Zimbabwe,Full-Time,"An Art Education Coordinator plans and manages art education programs, curriculum development, and educational outreach to promote art appreciation and learning within communities.",$57K-$82K,"{'Employee Referral Programs, Financial Counseling, Health and Wellness Facilities, Casual Dress Code, Flexible Spending Accounts (FSAs)'}"
Environmental Consultant,Environmental Impact Analyst,B.Com,5 to 12 Years,Tirana,Albania,Temporary,"Environmental Impact Analysts assess the environmental consequences of projects or activities. They conduct studies, analyze data, and provide recommendations to minimize adverse environmental effects and promote sustainable practices.",$56K-$95K,"{'Transportation Benefits, Professional Development, Bonuses and Incentive Programs, Profit-Sharing, Employee Discounts'}"
Art Teacher,Art Education Coordinator,BCA,4 to 13 Years,City of Baghdad,Iraq,Temporary,"An Art Education Coordinator plans and manages art education programs, curriculum development, and educational outreach to promote art appreciation and learning within communities.",$58K-$122K,"{'Employee Referral Programs, Financial Counseling, Health and Wellness Facilities, Casual Dress Code, Flexible Spending Accounts (FSAs)'}"
Event Planner,Wedding Planner,MBA,5 to 10 Years,Andorra la Vella,Andorra,Contract,"Wedding Planners specialize in organizing weddings, assisting couples with every aspect of wedding planning, from venue selection to catering and decor.",$62K-$83K,"{'Employee Referral Programs, Financial Counseling, Health and Wellness Facilities, Casual Dress Code, Flexible Spending Accounts (FSAs)'}"
Architect,Architectural Designer,M.Com,3 to 11 Years,Asmara,Eritrea,Contract,"Architectural Designers create architectural plans and designs for buildings and structures, considering aesthetics, functionality, and safety standards.",$57K-$96K,"{'Health Insurance, Retirement Plans, Flexible Work Arrangements, Employee Assistance Programs (EAP), Bonuses and Incentive Programs'}"
Family Lawyer,Mediator,BA,5 to 14 Years,Port-au-Prince,Haiti,Contract,Mediators facilitate negotiations and dispute resolution between parties in conflict. They remain neutral and help parties reach mutually acceptable agreements through effective communication and problem-solving techniques.,$57K-$112K,"{'Childcare Assistance, Paid Time Off (PTO), Relocation Assistance, Flexible Work Arrangements, Professional Development'}"
Account Manager,Client Relationship Manager,PhD,5 to 12 Years,Seoul,North Korea,Temporary,"Build and maintain strong client relationships, understand their needs, and ensure client satisfaction.",$59K-$123K,"{'Employee Referral Programs, Financial Counseling, Health and Wellness Facilities, Casual Dress Code, Flexible Spending Accounts (FSAs)'}"
Business Development Manager,Market Expansion Manager,BBA,4 to 8 Years,Montevideo,Uruguay,Part-Time,"A Market Expansion Manager strategizes and executes plans to expand the companys presence in new markets, identifying growth opportunities and optimizing market penetration.",$56K-$114K,"{'Casual Dress Code, Social and Recreational Activities, Employee Referral Programs, Health and Wellness Facilities, Life and Disability Insurance'}"
Network Engineer,Network Administrator,BBA,1 to 14 Years,Willemstad,Curacao,Contract,"Network Administrators manage an organizations computer networks. They configure, monitor, and maintain network infrastructure, ensuring optimal performance and security.",$62K-$101K,"{'Employee Assistance Programs (EAP), Tuition Reimbursement, Profit-Sharing, Transportation Benefits, Parental Leave'}"
IT Manager,Infrastructure Manager,BCA,5 to 14 Years,Kuwait City,Kuwait,Contract,"An Infrastructure Manager is responsible for the operation and maintenance of an organizations IT infrastructure, including servers, networks, and data centers.",$63K-$88K,"{'Employee Referral Programs, Financial Counseling, Health and Wellness Facilities, Casual Dress Code, Flexible Spending Accounts (FSAs)'}"
HR Coordinator,Training Coordinator,BCA,0 to 15 Years,Nuuk,Greenland,Contract,"Training Coordinators design and implement employee training programs. They assess training needs, develop training materials, and facilitate training sessions to enhance employees skills and knowledge.",$56K-$88K,"{'Life and Disability Insurance, Stock Options or Equity Grants, Employee Recognition Programs, Health Insurance, Social and Recreational Activities'}"
